President,Orders,_id
George Washington,8,57f6908e9103ad05e7a982df
John Adams,1,57f6908e9103ad05e7a982e0
Thomas Jefferson,4,57f6908e9103ad05e7a982e1
James Madison,1,57f6908e9103ad05e7a982e2
James Monroe,1,57f6908e9103ad05e7a982e3
John Quincy Adams,3,57f6908e9103ad05e7a982e4
Andrew Jackson,12,57f6908e9103ad05e7a982e5
Martin van Buren,10,57f6908e9103ad05e7a982e6
William Henry Harrison,0,57f6908e9103ad05e7a982e7
John Tyler,17,57f6908e9103ad05e7a982e8
James K. Polk,18,57f6908e9103ad05e7a982e9
Zachary Taylor,5,57f6908e9103ad05e7a982ea
Millard Fillmore,12,57f6908e9103ad05e7a982eb
Franklin Pierce,35,57f6908e9103ad05e7a982ec
James Buchanan,16,57f6908e9103ad05e7a982ed
Abraham Lincoln,48,57f6908e9103ad05e7a982ee
Andrew Johnson,79,57f6908e9103ad05e7a982ef
Ulysses S. Grant,217,57f6908e9103ad05e7a982f0
Rutherford B. Hayes,92,57f6908e9103ad05e7a982f1
James Garfield,6,57f6908e9103ad05e7a982f2
Chester Arthur,96,57f6908e9103ad05e7a982f3
Grover Cleveland (first term),113,57f6908e9103ad05e7a982f4
Benjamin Harrison,143,57f6908e9103ad05e7a982f5
Grover Cleveland (second term),140,57f6908e9103ad05e7a982f6
William McKinley,185,57f6908e9103ad05e7a982f7
Theodore Roosevelt,1081,57f6908e9103ad05e7a982f8
William Howard Taft,724,57f6908e9103ad05e7a982f9
Woodrow Wilson,1803,57f6908e9103ad05e7a982fa
Warren G. Harding,522,57f6908e9103ad05e7a982fb
Calvin Coolidge,1203,57f6908e9103ad05e7a982fc
Herbert Hoover,968,57f6908e9103ad05e7a982fd
Franklin D. Roosevelt,3522,57f6908e9103ad05e7a982fe
Harry S. Truman,907,57f6908e9103ad05e7a982ff
Dwight D. Eisenhower,484,57f6908e9103ad05e7a98300
John F. Kennedy,214,57f6908e9103ad05e7a98301
Lyndon B. Johnson,325,57f6908e9103ad05e7a98302
Richard Nixon,346,57f6908e9103ad05e7a98303
Gerald R. Ford,169,57f6908e9103ad05e7a98304
Jimmy Carter,320,57f6908e9103ad05e7a98305
Ronald Reagan,381,57f6908e9103ad05e7a98306
George H. W. Bush,166,57f6908e9103ad05e7a98307
Bill Clinton,364,57f6908e9103ad05e7a98308
George W. Bush,291,57f6908e9103ad05e7a98309
Barack Obama (as of 2015-1-20)[11],224,57f6908e9103ad05e7a9830a
